маг_NOUN,волшебник_NOUN,0.958333
автомобиль_NOUN,машина_NOUN,0.958333
мальчик_NOUN,парень_NOUN,0.952381
побережье_NOUN,берег_NOUN,0.904762
поездка_NOUN,путешествие_NOUN,0.857143
птица_NOUN,журавль_NOUN,0.75
птица_NOUN,петух_NOUN,0.714286
приспособление_NOUN,инструмент_NOUN,0.708333
еда_NOUN,фрукт_NOUN,0.666667
камень_NOUN,драгоценность_NOUN,0.625
день_NOUN,полдень_NOUN,0.6
печь_NOUN,плита_NOUN,0.537037
брат_NOUN,монах_NOUN,0.490196
брат_NOUN,парень_NOUN,0.375
автомобиль_NOUN,путешествие_NOUN,0.333333
монах_NOUN,оракул_NOUN,0.307692
еда_NOUN,петушок_NOUN,0.270833
берег_NOUN,лес_NOUN,0.259259
журавль_NOUN,приспособление_NOUN,0.25
приют_NOUN,дурдом_NOUN,0.238095
берег_NOUN,лесопарк_NOUN,0.166667
побережье_NOUN,холм_NOUN,0.166667
монах_NOUN,раб_NOUN,0.111111
кладбище_NOUN,лесопарк_NOUN,0.104167
парень_NOUN,волшебник_NOUN,0.100000
шнур_NOUN,улыбка_NOUN,0.0
полдень_NOUN,веревка_NOUN,0.0
стекло_NOUN,маг_NOUN,0.0
лес_NOUN,погост_NOUN,0.000000
петушок_NOUN,путешествие_NOUN,0.0
